datetime, Max, Min, Average
11/05/2016 13, 14.1000003815, 9.89999961853, 12.100000063571668, 
11/05/2016 14, 17.6000003815, 11.3999996185, 14.183333396899998, 
11/05/2016 15, 18, 14.1999998093, 15.816666603083334, 
11/05/2016 16, 28.2000007629, 17, 21.0333334605, 
11/05/2016 17, 35.7999992371, 20.7999992371, 28.4499998093, 
11/05/2016 18, 64, 32.0999984741, 49.18333307901667, 
11/05/2016 19, 74.9000015259, 44.5, 59.20000012716667, 
11/05/2016 20, 80.5999984741, 64.6999969482, 70.01666641235, 
11/05/2016 21, 75.6999969482, 47.7999992371, 66.5999991099, 
11/05/2016 22, 43.0999984741, 31.1000003815, 35.566666603083334, 
11/05/2016 23, 40.7999992371, 32.9000015259, 37.016667048133336, 
11/06/2016 00, 47.7000007629, 35.2999992371, 43.79999987285, 
11/06/2016 01, 35.5, 30.7000007629, 33.016666412333336, 
11/06/2016 02, 30.2000007629, 24.7999992371, 28.149999936433332, 
11/06/2016 03, 32.5999984741, 23.6000003815, 28.483333269750002, 
11/06/2016 04, 44.4000015259, 29.5, 35.116667111716666, 
11/06/2016 05, 60, 43.9000015259, 50.01666704815, 
11/06/2016 06, 65.5, 37.9000015259, 51.01666641236667, 
11/06/2016 07, 86.5999984741, 51.5999984741, 72.91666539508334, 
11/06/2016 08, 105.099998474, 63.7999992371, 81.16666730248333, 
11/06/2016 09, 79, 50.2999992371, 63.38333320618333, 
11/06/2016 10, 54.5999984741, 37.0999984741, 48.39999961851666, 
11/06/2016 11, 33.2999992371, 24.7999992371, 30.499999682133332, 
11/06/2016 12, 23.6000003815, 15.1000003815, 20.5333334605, 
11/06/2016 13, 29.2000007629, 17.1000003815, 22.633333841933336, 
11/06/2016 14, 32.2000007629, 15.8000001907, 24.750000476816666, 
11/06/2016 15, 33.9000015259, 22.2000007629, 26.583333651216666, 
11/06/2016 16, 39.5999984741, 30.8999996185, 36.166666348750006, 
11/06/2016 17, 41.5999984741, 31.2000007629, 36.06666660306667, 
11/06/2016 18, 36.7000007629, 28.7000007629, 34.00000063576666, 
11/06/2016 19, 66.9000015259, 35.7000007629, 48.3666674296, 
11/06/2016 20, 77.4000015259, 53.0999984741, 63.083332697533336, 
11/06/2016 21, 71.0999984741, 53.2000007629, 62.03333346050001, 
11/06/2016 22, 50.0999984741, 34, 41.01666641235, 
11/06/2016 23, 45.2000007629, 28, 33.75, 
11/07/2016 00, 34.7000007629, 24.7999992371, 29, 
11/07/2016 01, 36.2000007629, 34.0999984741, 35.29999987283333, 
11/07/2016 02, 50.0999984741, 36.7999992371, 41.94999949138333, 
11/07/2016 03, 45, 40.0999984741, 41.66666603088333, 
11/07/2016 04, 43.7000007629, 36.5, 40.150000254316666, 
11/07/2016 05, 65.4000015259, 53.0999984741, 60.533333460483334, 
11/07/2016 06, 109.199996948, 66.0999984741, 85.616666158, 
11/07/2016 07, 91.5, 68.9000015259, 83.58333206175, 
11/07/2016 08, 94.9000015259, 88.5999984741, 92.43333307901666, 
11/07/2016 09, 90.5, 77.3000030518, 85.81666692098334, 
11/07/2016 10, 76.5, 57.2999992371, 68.04999987285, 
11/07/2016 11, 55.5999984741, 42.9000015259, 49.43333307901667, 
11/07/2016 12, 48.5999984741, 26.7000007629, 38.78333346046667, 
11/07/2016 13, 27.1000003815, 18.2999992371, 22.099999745683334, 
11/07/2016 14, 27, 17, 21.0333331426, 
11/07/2016 15, 30.8999996185, 23.8999996185, 25.949999809250002, 
11/07/2016 16, 35.0999984741, 22.5, 28.799999554966664, 
11/07/2016 17, 43.4000015259, 28.1000003815, 36.2833337784, 
11/07/2016 18, 47.7999992371, 31.3999996185, 38.29999955495, 
11/07/2016 19, 63.9000015259, 33.5999984741, 51.40000025433333, 
11/07/2016 20, 95.9000015259, 70.5999984741, 80.40000025431667, 
11/07/2016 21, 95, 61.7999992371, 75.8499991099, 
11/07/2016 22, 70.1999969482, 48.5999984741, 57.74999936421667, 
11/07/2016 23, 49.0999984741, 36.0999984741, 41.599999745683334, 
11/08/2016 00, 49.4000015259, 35.2999992371, 43.9333337148, 
11/08/2016 01, 53.2000007629, 46, 49.38333320616667, 
11/08/2016 02, 54.7000007629, 39.7000007629, 45.4333337148, 
11/08/2016 03, 46.0999984741, 39.9000015259, 42.966666539516666, 
11/08/2016 04, 46.7999992371, 36.4000015259, 41.15000025433333, 
11/08/2016 05, 64.9000015259, 38.7999992371, 54.20000012718333, 
11/08/2016 06, 88.3000030518, 64.8000030518, 74.18333307901666, 
11/08/2016 07, 90.4000015259, 68.5, 80.2166671753, 
11/08/2016 08, 92.8000030518, 87.3000030518, 90.05000050863333, 
11/08/2016 09, 90.9000015259, 80.4000015259, 84.38333511354999, 
11/08/2016 10, 99.1999969482, 57.2000007629, 75.91666603086666, 
11/08/2016 11, 51.5, 25.2999992371, 39.06666692096667, 
11/08/2016 12, 41.9000015259, 37.2999992371, 39.983333587666664, 
11/08/2016 13, 37.2999992371, 24.2999992371, 29.649999618549998, 
11/08/2016 14, 108.800003052, 23.2000007629, 38.783334096316665, 
11/08/2016 15, 28.1000003815, 20.7999992371, 24.3499997457, 
11/08/2016 16, 34.0999984741, 25.3999996185, 29.3499994278, 
11/08/2016 17, 42.9000015259, 28.6000003815, 34.933333396916666, 
11/08/2016 18, 46.5999984741, 36.2000007629, 41.983332951866664, 
11/08/2016 19, 46.9000015259, 37.2000007629, 41.766667048116666, 
11/08/2016 20, 93.9000015259, 50.5, 67.68333371481667, 
11/08/2016 21, 95, 62.7000007629, 74.64999961851667, 
