datetime, Max, Min, Average
01/10/2017 10, 163.600006104, 124.800003052, 131.3449995676333, 
01/10/2017 11, 129.199996948, 39.0999984741, 81.91666679382998, 
01/10/2017 12, 680, 34.4000015259, 55.888333384199996, 
01/10/2017 13, 41.7999992371, 33, 37.445652008047816, 
01/10/2017 14, 101.800003052, 31.1000003815, 37.513333384199996, 
01/10/2017 15, 823.900024414, 34.0999984741, 56.70833346047501, 
01/10/2017 16, 72.6999969482, 43.2999992371, 52.133333524068306, 
01/10/2017 17, 106.599998474, 48.5999984741, 72.84166679382164, 
01/10/2017 18, 197.699996948, 78.5, 98.34285704941836, 
01/10/2017 19, 198.300003052, 115.699996948, 127.91666666666666, 
01/10/2017 20, 187.800003052, 113.300003052, 143.48750003179165, 
01/10/2017 21, 192.600006104, 152.699996948, 168.8466667175333, 
01/10/2017 22, 204, 81.9000015259, 120.72999966937002, 
01/10/2017 23, 91.0999984741, 72.5, 79.53333358764999, 
01/11/2017 00, 87.0999984741, 73.3000030518, 78.526666641235, 
01/11/2017 01, 82.8000030518, 60.4000015259, 68.00350918687019, 
01/11/2017 02, 92.5999984741, 57.0999984741, 72.62833334604834, 
01/11/2017 03, 93.3000030518, 54.9000015259, 70.72641459050567, 
01/11/2017 04, 101.900001526, 66.3000030518, 83.9266670227083, 
01/11/2017 05, 132, 84.5, 106.02631592332457, 
01/11/2017 06, 176.899993896, 104.400001526, 140.13529474600003, 
01/11/2017 07, 192.5, 140.800003052, 161.51250012716665, 
01/11/2017 08, 181.300003052, 151.100006104, 174.49302282995347, 
01/11/2017 09, 158.300003052, 126, 136.59500071213333, 
01/11/2017 10, 201.399993896, 105.800003052, 139.01499938959998, 
01/11/2017 11, 169.399993896, 48.5999984741, 107.46666685742169, 
01/11/2017 12, 84.5999984741, 28.2999992371, 40.585000133515, 
01/11/2017 13, 124.099998474, 26.8999996185, 39.41666666667167, 
01/11/2017 14, 70.8000030518, 39.4000015259, 46.131666755676676, 
01/11/2017 15, 68.4000015259, 40.0999984741, 47.25666662851334, 
01/11/2017 16, 86.3000030518, 42.7000007629, 53.59500013987333, 
01/11/2017 17, 108.5, 55.0999984741, 65.80666650136334, 
01/11/2017 18, 148.5, 73.9000015259, 98.84833323161833, 
01/11/2017 19, 119.400001526, 73.9000015259, 94.12666651405671, 
