datetime, Max, Min, Average
01/06/2017 09, 138.199996948, 113.099998474, 122.92666651406668, 
01/06/2017 10, 121.699996948, 67.8000030518, 91.631666437765, 
01/06/2017 11, 66.9000015259, 39.2000007629, 51.458333460491666, 
01/06/2017 12, 39.2999992371, 26.7999992371, 32.28999980290833, 
01/06/2017 13, 44.0999984741, 13.3999996185, 20.799999920528332, 
01/06/2017 14, 22.1000003815, 13.6999998093, 17.721666701639993, 
01/06/2017 15, 24.2999992371, 13.8999996185, 17.189999945958334, 
01/06/2017 16, 49.5999984741, 25.1000003815, 35.963333352410004, 
01/06/2017 17, 85.5, 40, 47.07454549615635, 
01/06/2017 18, 117.300003052, 42.9000015259, 50.16833343506501, 
01/06/2017 19, 53.5, 41.4000015259, 44.558333333328314, 
01/06/2017 20, 53, 45.2000007629, 49.181666755674996, 
01/06/2017 21, 47.7999992371, 34.7000007629, 41.288333320616665, 
01/06/2017 22, 40.5999984741, 33.4000015259, 37.014999898275, 
01/06/2017 23, 38.5999984741, 30.2000007629, 32.81500002543, 
01/07/2017 00, 55.7000007629, 30.8999996185, 37.861666742956665, 
01/07/2017 01, 61.9000015259, 47.4000015259, 54.18166675567665, 
01/07/2017 02, 63.5999984741, 60.5999984741, 61.87666638692502, 
01/07/2017 03, 77.9000015259, 55.2000007629, 60.086440975377954, 
01/07/2017 04, 89.8000030518, 64, 74.80666618346503, 
01/07/2017 05, 74.4000015259, 62.5999984741, 67.64999999999831, 
01/07/2017 06, 90.3000030518, 70, 77.79666671753002, 
01/07/2017 07, 110, 92.3000030518, 103.49499982196163, 
01/07/2017 08, 205.5, 111.699996948, 130.0866666158, 
01/07/2017 09, 169.100006104, 117.599998474, 143.1882352641961, 
01/07/2017 10, 144.800003052, 85.0999984741, 120.13000017803665, 
01/07/2017 11, 84.5, 56.0999984741, 69.90999997456666, 
01/07/2017 12, 57, 20.3999996185, 42.835000006355, 
01/07/2017 13, 31.2000007629, 20.7999992371, 25.66000006993499, 
01/07/2017 14, 42.0999984741, 25.6000003815, 29.184999910989998, 
01/07/2017 15, 56.2999992371, 33.2999992371, 38.2847454265034, 
01/07/2017 16, 40.7000007629, 30.7999992371, 34.718333339688336, 
01/07/2017 17, 43.7999992371, 29.7999992371, 38.88666671117501, 
